text,variants,lines_settled,tranche,stratum,sampling_weight,clauses,categ_current,nearest_attested,recoverability,gold_categ,confidence,note
ppole,ppole | ppole - | ppole?,11671,census_head,at_risk/full,1.0,initial_geminate,Clear:11671,ppole attested 229x but pole is 8600x (stronger-twin),1.00,,,
sektlll,sektlll,543,census_head,at_risk/none,1.0,triple,Clear:539|Trash:4,,0.00,,,
Triticum monococcum,Triticum monococcum | Triticum monococcum _ | . Triticum monococcum | Triticum monococcum - | □ Triticum monococcum,148,census_head,at_risk/full,1.0,low_variety,Clear:147|Noisy:1,,1.00,,,
Lepus europaeus,Lepus europaeus | Lepus europaeus: | Lepus europaeus : | Lepus Europaeus | Lepus Europaeus( ?) | Lepus europaeus 12 | Lepus europaeus-,97,census_head,at_risk/full,1.0,vowel_run,Clear:97,,1.00,,,
f. okraie,f. okraie | 1.f. okraie,76,census_head,at_risk/full,1.0,vowel_run,Noisy:76,okraie attested 22x but okraje is 13611x (stronger-twin),1.00,,,
ARCHAIA Olomouc o.p.s.,ARCHAIA Olomouc o.p.s. | Archaia Olomouc o.p.s. | ARCHAIA OLOMOUC o.p.s. | ARCHAIA Olomouc o.p.S.,63,census_head,at_risk/full,1.0,vowel_run,Clear:63,,1.00,,,
lenaye,lenaye,47,census_head,at_risk/full,1.0,vowel_run,Clear:46|Trash:1,"lenaye -> lengye (96, edit1)",1.00,,,
Mammalia indet.,Mammalia indet.,44,census_head,at_risk/full,1.0,low_variety,Clear:44,,1.00,,,
. okraie,. okraie | £ okraie | okraie | 11 okraie | . 11 okraie | 1 okraie | 1.1 okraie | 11. okraie | .11 okraie | 1 € okraie | 11 okraie . | 11. okraie . | OKRAIE | £ okraie ..,36,census_head,at_risk/full,1.0,vowel_run,Clear:32|Trash:4,okraie attested 22x but okraje is 13611x (stronger-twin),1.00,,,
Archaia Brno o.p.s.,Archaia Brno o.p.s. | ARCHAIA Brno o.p.s. | Archaia Brno o.p.s | ARCHAIA BRNO O.P.S. | ARCHAIA BRNO o.p.s. | ARCHAIA Brno o.p.s,35,census_head,at_risk/full,1.0,vowel_run,Clear:28|Noisy:6|Trash:1,,1.00,,,
"cuxoaid ,","cuxoaid ,",33,census_head,at_risk/full,1.0,vowel_run,Clear:33,,1.00,,,
A;OJ/III.,A;OJ/III.,28,census_head,at_risk/none,1.0,"triple,vowel_run",Clear:28,,0.00,,,
Rudiay I-Schacht,Rudiay I-Schacht,26,census_head,at_risk/full,1.0,vowel_run,Clear:26,,1.00,,,
Papaver rhoeas/dubium,Papaver rhoeas/dubium,25,census_head,at_risk/partial,1.0,vowel_run,Clear:25,,0.50,,,
Stachys arvensis/annuua,Stachys arvensis/annuua,25,census_head,at_risk/full,1.0,vowel_run,Clear:25,"arvensis/annuua -> arvensis/annua (13, edit1)",1.00,,,
Mioil,Mioil,24,census_head,at_risk/full,1.0,vowel_run,Clear:24,"mioil -> mobil (59, edit1)",1.00,,,
Feuerstein,Feuerstein | 1 Feuerstein- | Feuerstein- | Feuerstein.,21,census_head,at_risk/full,1.0,vowel_run,Clear:21,,1.00,,,
Flurname: Rudiay I-Schacht,Flurname: Rudiay I-Schacht,18,census_head,at_risk/full,1.0,vowel_run,Noisy:14|Trash:4,,1.00,,,
10 cfff S,10 cfff S | 11 cfff S | 12 cfff S | 14 cfff S | 17 cfff S,16,census_head,at_risk/none,1.0,triple,Noisy:16,,0.00,,,
Fayalit,Fayalit | ' Fayalit | fayalit | ■ • Fayalit,16,census_head,at_risk/full,1.0,vowel_run,Clear:15|Noisy:1,,1.00,,,
Arvicola terrestris,Arvicola terrestris,15,census_head,at_risk/full,1.0,low_variety,Clear:14|Trash:1,,1.00,,,
Baier,Baier,15,census_head,at_risk/full,1.0,vowel_run,Clear:15,,1.00,,,
Jiiiil,Jiiiil,15,census_head,at_risk/full,1.0,"triple,vowel_run",Clear:10|Trash:5,"jiiiil -> iiiil (11, edit1)",1.00,,,
seklll,seklll,13,census_head,at_risk/none,1.0,triple,Clear:13,,0.00,,,
ARCHAIA,ARCHAIA | Archaia.,12,census_head,at_risk/full,1.0,vowel_run,Clear:12,,1.00,,,
"ARCHAIA Brno, o.p.s.","ARCHAIA Brno, o.p.s. | Archaia Brno, o.p.s. | Archaia Brno, o.p.s",12,census_head,at_risk/full,1.0,vowel_run,Clear:11|Noisy:1,,1.00,,,
nenalezena,nenalezena | nenalezena. | NENALEZENA,12,census_head,at_risk/full,1.0,low_variety,Clear:12,,1.00,,,
Archaeological context:,Archaeological context:,11,census_head,at_risk/full,1.0,vowel_run,Clear:11,,1.00,,,
Archaeological context: burial,Archaeological context: burial | Archaeological context: Burial,11,census_head,at_risk/full,1.0,vowel_run,Clear:11,,1.00,,,
Hyoideum,Hyoideum | : Hyoideum | hyoideum,11,census_head,at_risk/full,1.0,vowel_run,Clear:9|Trash:2,,1.00,,,
AMERICAN ARCHAEOLOGICAL EXPEDITION,AMERICAN ARCHAEOLOGICAL EXPEDITION,10,census_head,at_risk/full,1.0,vowel_run,Clear:10,,1.00,,,
Neolit/eneolit,Neolit/eneolit | neolit/eneolit,10,census_head,at_risk/full,1.0,low_variety,Clear:10,,1.00,,,
Rudiay,Rudiay,10,census_head,at_risk/full,1.0,vowel_run,Clear:10,,1.00,,,
Vvzkum paleolitu,Vvzkum paleolitu,10,census_head,at_risk/full,1.0,initial_geminate,Clear:10,,1.00,,,
1 bearbeiteter,1 bearbeiteter | 1 bearbeiteter — | Bearbeiteter,9,census_head,at_risk/full,1.0,low_variety,Clear:7|Noisy:2,,1.00,,,
Bauer,Bauer | - Bauer,9,census_head,at_risk/full,1.0,vowel_run,Clear:9,,1.00,,,
Poeloeovy soubor,Poeloeovy soubor,9,census_head,at_risk/partial,1.0,vowel_run,Clear:9,,0.50,,,
Rubus idaeus,Rubus idaeus,9,census_head,at_risk/full,1.0,vowel_run,Clear:9,,1.00,,,
mmlung:,mmlung: | mmlung; | mmlung | mmlung; •,9,census_head,at_risk/full,1.0,initial_geminate,Clear:6|Trash:3,,1.00,,,
tislo NN/sondy:,"tislo NN/sondy: | tislo NN/sondy: 523 | tislo NN/sondy: ,523 | tislo NN/sondy: ,566 | tislo NN/sondy: 509 | tislo NN/sondy: 513 | tislo NN/sondy: 522",9,census_head,at_risk/full,1.0,initial_geminate,Noisy:9,,1.00,,,
zlomek / xxxx,zlomek / xxxx,9,census_head,at_risk/full,1.0,"initial_geminate,triple",Noisy:9,,1.00,,,
Rreis:,Rreis:,8,census_head,at_risk/full,1.0,initial_geminate,Clear:8,,1.00,,,
llium,llium,8,census_head,at_risk/full,1.0,initial_geminate,Clear:7|Trash:1,llium attested 13x but ilium is 323x (stronger-twin),1.00,,,
Kaukasus,Kaukasus | Kaukasus:,7,census_head,at_risk/none,1.0,low_variety,Clear:7,,0.00,,,
llium with acetabulum,llium with acetabulum,7,census_head,at_risk/full,1.0,initial_geminate,Clear:7,llium attested 13x but ilium is 323x (stronger-twin),1.00,,,
ppol,ppol | PPOL,7,census_head,at_risk/full,1.0,initial_geminate,Clear:7,,1.00,,,
Achaia Brno o.p.s.,Achaia Brno o.p.s.,6,census_head,at_risk/full,1.0,vowel_run,Clear:6,,1.00,,,
Maie 31,Maie 31 | Maie 38 | Maie 42 | Maie 50 | Maie 60 | Maie 80,6,census_head,at_risk/full,1.0,vowel_run,Clear:6,"maie -> mail (4284, edit1)",1.00,,,
Meiil,Meiil,6,census_head,at_risk/full,1.0,vowel_run,Clear:6,"meiil -> medii (155, edit1)",1.00,,,
Rubusidaeus,Rubusidaeus,6,census_head,at_risk/full,1.0,vowel_run,Clear:6,,1.00,,,
Triticum monococcum/dicoccum,Triticum monococcum/dicoccum,6,census_head,at_risk/partial,1.0,low_variety,Clear:6,,0.50,,,
Vicia hirsuta/craca/tetrasperma,Vicia hirsuta/craca/tetrasperma,6,census_head,at_risk/partial,1.0,low_variety,Clear:6,,0.50,,,
"angefangener Durchbohrung,","angefangener Durchbohrung,",6,census_head,at_risk/full,1.0,low_variety,Clear:6,,1.00,,,
cf. Triticum monococcum,cf. Triticum monococcum,6,census_head,at_risk/full,1.0,low_variety,Clear:6,,1.00,,,
zlomky / xxxx,zlomky / xxxx,6,census_head,at_risk/full,1.0,"initial_geminate,triple",Noisy:5|Trash:1,,1.00,,,
Abschlag aus Feuerstein,Abschlag aus Feuerstein,5,census_head,at_risk/full,1.0,vowel_run,Clear:5,,1.00,,,
Created by Archaia,Created by Archaia,5,census_head,at_risk/full,1.0,vowel_run,Clear:5,,1.00,,,
Feuersteinklinge,"Feuersteinklinge | ""Feuersteinklinge "" | 1 Feuersteinklinge,",5,census_head,at_risk/full,1.0,vowel_run,Clear:5,,1.00,,,
Gebauer,Gebauer,5,census_head,at_risk/full,1.0,vowel_run,Clear:5,,1.00,,,
Kernstueck aus Feuerstein,"Kernstueck aus Feuerstein | Kernstueck aus Feuerstein,",5,census_head,at_risk/full,1.0,vowel_run,Clear:5,"kernstueck -> kernstuck (10, edit1)",1.00,,,
1 fraament okraie,1 fraament okraie | fraament okraie | 1 fraament okraie. | 1 .fraament okraie | .1 fraament okraie | 1 fraament okraie.. | 1 fraament okraie... | 1. fraament okraie | 1.fraament okraie | 1fraament okraie | fraament okraie .,558,census_contested,confirms_trash/full,1.0,vowel_run,Trash:554|Clear:3|Noisy:1,"fraament -> fragment (6375, edit1); okraie attested 22x but okraje is 13611x (stronger-twin)",1.00,,,
1 fraoment okraie,1 fraoment okraie | fraoment okraie | 1 fraoment okraie. | 1 fraoment okraie.. | 1fraoment okraie,173,census_contested,confirms_trash/full,1.0,vowel_run,Trash:168|Clear:5,"fraoment -> fragment (6375, edit1); okraie attested 22x but okraje is 13611x (stronger-twin)",1.00,,,
Linum usitatissimum,Linum usitatissimum | Linum usitatissimum 9.38%,63,census_contested,confirms_trash/full,1.0,low_variety,Trash:40|Clear:23,,1.00,,,
vodovod,vodovod | vodovod) | vodovod?,15,census_contested,confirms_trash/full,1.0,low_variety,Trash:10|Clear:5,,1.00,,,
vvel,vvel | Vvel | /vvel | /vvel-,11,census_contested,confirms_trash/full,1.0,initial_geminate,Trash:6|Clear:5,"vvel -> vedl (1737, edit1)",1.00,,,
1 (raoment okraie,"1 (raoment okraie | 1 (raoment okraie. | 1,(raoment okraie",10,census_contested,confirms_trash/full,1.0,vowel_run,Trash:9|Clear:1,"raoment -> ragment (75, edit1); okraie attested 22x but okraje is 13611x (stronger-twin)",1.00,,,
Aa/III 116,Aa/III 116 | Aa/III 28 | Aa/III 30 | Aa/III 86 | Aa/III 88 | Aa/III-36 | Aa/III-4 2 | Aa/III-43,8,census_contested,confirms_trash/none,1.0,"triple,vowel_run",Trash:5|Clear:3,,0.00,,,
os hyoideum,os hyoideum,6,census_contested,confirms_trash/full,1.0,vowel_run,Trash:3|Noisy:3,,1.00,,,
"6 ./Equus Ouagga,","6 ./Equus Ouagga, | 6. /Equus Ouagga, | Equus Ouagga | Equus Ouagga 112 | Equus Ouagga,",5,census_contested,confirms_trash/partial,1.0,vowel_run,Trash:3|Clear:2,,0.50,,,
2 Feuersteinmesser,"2 Feuersteinmesser | 2 Feuersteinmesser3748 | Feuersteinmesser | Feuersteinmesser,",4,census_contested,at_risk/full,1.0,vowel_run,Clear:2|Noisy:1|Trash:1,,1.00,,,
"Grabung Dir.Feyerabend,","Grabung Dir.Feyerabend, | Grabung Dir.Feyerabend ,",4,census_contested,at_risk/partial,1.0,vowel_run,Clear:2|Trash:2,,0.50,,,
KULTURA: ppole,KULTURA: ppole | & KULTURA: ppole | .. KULTURA: ppole,4,census_contested,at_risk/full,1.0,initial_geminate,Clear:3|Noisy:1,ppole attested 229x but pole is 8600x (stronger-twin),1.00,,,
M A SKOVIUE,M A SKOVIUE,4,census_contested,confirms_trash/full,1.0,vowel_run,Trash:3|Noisy:1,"skoviue -> skovice (12, edit1)",1.00,,,
Ziegeleien,Ziegeleien,4,census_contested,at_risk/full,1.0,vowel_run,Clear:3|Trash:1,,1.00,,,
"""SVIII/3 ' ""","""SVIII/3 ' "" | SVIII / 2 | SVIII/ 2",3,census_contested,at_risk/full,1.0,"triple,vowel_run",Clear:2|Trash:1,"sviii/3 -> viii/3 (18, edit1)",1.00,,,
1 L okraie,1 L okraie | 1L okraie | 1L okraie .,3,census_contested,confirms_trash/full,1.0,vowel_run,Trash:2|Clear:1,okraie attested 22x but okraje is 13611x (stronger-twin),1.00,,,
Dunkelgraues Felsgestein.,"Dunkelgraues Felsgestein. | Dunkelgraues Felsgestein,",3,census_contested,at_risk/full,1.0,vowel_run,Clear:2|Trash:1,,1.00,,,
HHTE,HHTE | HHtE,3,census_contested,at_risk/full,1.0,initial_geminate,Clear:2|Noisy:1,,1.00,,,
M ASKOVIUE,M ASKOVIUE,3,census_contested,at_risk/none,1.0,vowel_run,Noisy:2|Trash:1,,0.00,,,
PSSPPOP,PSSPPOP | PSSPPOp,3,census_contested,confirms_trash/full,1.0,low_variety,Trash:2|Clear:1,,1.00,,,
ccramika,ccramika,3,census_contested,confirms_trash/full,1.0,initial_geminate,Trash:2|Clear:1,"ccramika -> ceramika (30, confusion)",1.00,,,
f okraie,f okraie | . 1f okraie,3,census_contested,at_risk/full,1.0,vowel_run,Noisy:2|Trash:1,okraie attested 22x but okraje is 13611x (stronger-twin),1.00,,,
unpodeyuu,unpodeyuu,3,census_contested,at_risk/none,1.0,vowel_run,Clear:2|Trash:1,,0.00,,,
11 okraie Dolevany,11 okraie Dolevany | 11. okraie Dolevany,2,census_contested,at_risk/partial,1.0,vowel_run,Clear:1|Trash:1,okraie attested 22x but okraje is 13611x (stronger-twin),0.50,,,
195; CCXLVIII).,195; CCXLVIII). | CCXLVIII).,2,census_contested,at_risk/full,1.0,"initial_geminate,triple,vowel_run",Clear:1|Trash:1,,1.00,,,
Auerochs - BisOn.,Auerochs - BisOn. | Auerochs - Bison.,2,census_contested,at_risk/full,1.0,vowel_run,Noisy:1|Clear:1,,1.00,,,
CUCCC((,CUCCC(( | CUCcC,2,census_contested,at_risk/full,1.0,triple,Clear:1|Trash:1,"cuccc -> cccc (35, edit1)",1.00,,,
"Max hioubka(m): 1,05","Max hioubka(m): 1,05 | Max hioubka(m); 0.12",2,census_contested,confirms_trash/none,1.0,vowel_run,Trash:1|Noisy:1,,0.00,,,
