text,variants,lines_settled,tranche,stratum,sampling_weight,clauses,categ_current,nearest_attested,recoverability,gold_categ,confidence,note
oraungrauer,oraungrauer,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"oraungrauer -> braungrauer (26, edit1)",1.00,,,
Moierhof,Moierhof,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"moierhof -> meierhof (57, edit1)",1.00,,,
wwwow i,wwwow i,1,sample_tail,at_risk/full,27.2917,"initial_geminate,triple",Clear:1,"wwwow -> wwww (21, edit1)",1.00,,,
/cleue,/cleue,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"cleue -> leute (104, edit1)",1.00,,,
zh-2.kroie,zh-2.kroie,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"kroie -> kopie (1164, edit1)",1.00,,,
I WOHNLIAUS,I WOHNLIAUS,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"wohnliaus -> wohnhaus (17, confusion)",1.00,,,
Lani esmuseum Prag.,Lani esmuseum Prag.,1,sample_tail,at_risk/full,27.2917,low_variety,Noisy:1,"esmuseum -> desmuseum (11, edit1)",1.00,,,
2 2/. Hhove,2 2/. Hhove,1,sample_tail,at_risk/full,27.2917,initial_geminate,Noisy:1,"hhove -> chove (14, edit1)",1.00,,,
Uiozen,Uiozen,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"uiozen -> uiozem (81, confusion)",1.00,,,
Strakouice-FPO,Strakouice-FPO,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"strakouice -> strakonice (810, edit1)",1.00,,,
CHAEOLOGICKY UST,CHAEOLOGICKY UST,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"chaeologicky -> cheologicky (21, edit1)",1.00,,,
A.MATENAUER,A.MATENAUER,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"matenauer -> matzenauer (12, edit1)",1.00,,,
eiots ■■ 3,eiots ■■ 3,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"eiots -> reits (47, edit1)",1.00,,,
(Fr. Kalouoek).,(Fr. Kalouoek).,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"kalouoek -> kalousek (519, edit1)",1.00,,,
mouelace.,mouelace.,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"mouelace -> modelace (377, edit1)",1.00,,,
Klueov .,Klueov .,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"klueov -> klučov (159, edit1)",1.00,,,
"/ Mettt. IV,","/ Mettt. IV,",1,sample_tail,at_risk/full,27.2917,triple,Noisy:1,"mettt -> metat (32, edit1)",1.00,,,
91. eeesy,91. eeesy,1,sample_tail,at_risk/full,27.2917,"triple,vowel_run",Noisy:1,"eeesy -> eees (14, edit1)",1.00,,,
Dooi dne 41,Dooi dne 41,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"dooi -> došo (116, edit1)",1.00,,,
vielleicht nlcht gebraeucht?,vielleicht nlcht gebraeucht?,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"nlcht attested 44x but nicht is 2020x (stronger-twin); gebraeucht -> gebraucht (27, edit1)",1.00,,,
nruoe Komponenty:,nruoe Komponenty:,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"nruoe -> nrube (22, edit1)",1.00,,,
V.Teuerstei,V.Teuerstei,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"teuerstei -> euerstein (10, edit1)",1.00,,,
Riesenauelle besass.,Riesenauelle besass.,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"riesenauelle -> riesenquelle (32, edit1)",1.00,,,
obiouk,obiouk,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"obiouk -> oblouk (1577, confusion)",1.00,,,
5 . TTFET,5 . TTFET,1,sample_tail,at_risk/full,27.2917,initial_geminate,Noisy:1,"ttfet -> ttet (13, edit1)",1.00,,,
.. oualy,.. oualy,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"oualy -> obaly (62, edit1)",1.00,,,
Kultura /Auolz .,Kultura /Auolz .,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"auolz -> auol (16, edit1)",1.00,,,
rreicht,rreicht,1,sample_tail,at_risk/full,27.2917,initial_geminate,Clear:1,"rreicht -> reicht (103, confusion)",1.00,,,
MMTP Hanspaulka,MMTP Hanspaulka,1,sample_tail,at_risk/full,27.2917,initial_geminate,Noisy:1,"mmtp -> mhmp (68, edit1)",1.00,,,
alla osssi sacri,alla osssi sacri,1,sample_tail,at_risk/full,27.2917,triple,Clear:1,"osssi -> ossis (218, edit1)",1.00,,,
ryout 3,ryout 3,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"ryout -> rytou (2169, edit1)",1.00,,,
AUIVL,AUIVL,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"auivl -> auil (10, edit1)",1.00,,,
MIOU,MIOU,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"miou -> mimo (14204, edit1)",1.00,,,
■ hioer,■ hioer,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"hioer -> hier (1113, edit1)",1.00,,,
rrana--lcen,rrana--lcen,1,sample_tail,at_risk/full,27.2917,initial_geminate,Noisy:1,"rrana -> hrana (4083, edit1); lcen -> líce (1570, edit1)",1.00,,,
Arehaeology,Arehaeology,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"arehaeology -> archaeology (361, confusion)",1.00,,,
yiue: ' 7,yiue: ' 7,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"yiue -> siue (13, edit1)",1.00,,,
kaii na zubech,kaii na zubech,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"kaii -> kami (215, edit1)",1.00,,,
Okiouhlice,Okiouhlice,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"okiouhlice -> okrouhlice (46, edit1)",1.00,,,
