file,page_num,line_num,text,lang,lang_score,perplex,categ
CTX199904249,641,1,642,N/A,0,0,Non-text
CTX199904249,641,2,0469/98,N/A,0,0,Non-text
CTX199904249,641,12,TA,N/A,0,0,Non-text
CTX199904249,641,13,TB,N/A,0,0,Non-text
CTX199904249,641,14,TC,N/A,0,0,Non-text
CTX199904249,641,15,TD,N/A,0,0,Non-text
CTX199904249,641,16,TE,N/A,0,0,Non-text
CTX199904249,641,18,AA,N/A,0,0,Non-text
CTX199904249,641,19,AB,N/A,0,0,Non-text
CTX199904249,641,20,AC,N/A,0,0,Non-text
CTX199904249,641,21,AD,N/A,0,0,Non-text
CTX199904249,641,22,AE,N/A,0,0,Non-text
CTX199904249,641,23,KOV,N/A,0,0,Non-text
CTX199904249,641,34,13/11,N/A,0,0,Non-text
CTX199904249,641,35,1 1,N/A,0,0,Non-text
CTX199904249,641,36,17.10.98. 1,N/A,0,0,Non-text
CTX199904249,641,37,21 1,N/A,0,0,Non-text
CTX199904249,641,39,1 ],N/A,0,0,Non-text
CTX199904249,641,40,1 1,N/A,0,0,Non-text
CTX199904249,641,41,1 1,N/A,0,0,Non-text
CTX199904249,641,42,1 i,N/A,0,0,Non-text
CTX199904249,641,43,1 1,N/A,0,0,Non-text
CTX199904249,641,44,1 1,N/A,0,0,Non-text
CTX199904249,641,45,[ 1,N/A,0,0,Non-text
CTX199904249,641,47,1 1,N/A,0,0,Non-text
CTX199904249,641,48,1 1,N/A,0,0,Non-text
CTX199904249,641,49,1 I,N/A,0,0,Non-text
CTX199904249,641,50,1 1,N/A,0,0,Non-text
CTX199904249,641,51,1 1,N/A,0,0,Non-text
CTX199904249,641,52,1 1,N/A,0,0,Non-text
CTX199904249,641,53,1 1,N/A,0,0,Non-text
CTX199904249,641,54,1 1,N/A,0,0,Non-text
CTX199904249,641,55,1 1,N/A,0,0,Non-text
CTX199904249,176,1,176,N/A,0,0,Non-text
CTX199904249,176,5,A,N/A,0,0,Non-text
CTX199904249,176,7,A5/003/98,N/A,0,0,Non-text
CTX199904249,176,21,Kov,N/A,0,0,Non-text
CTX199904249,499,1,500,N/A,0,0,Non-text
CTX199904249,499,6,1998,N/A,0,0,Non-text
CTX199904249,499,7,A,N/A,0,0,Non-text
CTX199904249,499,8,F4,N/A,0,0,Non-text
CTX199904249,794,1,795,N/A,0,0,Non-text
CTX199904249,794,3,10008/99 |,N/A,0,0,Non-text
CTX199904249,794,11,1 1,N/A,0,0,Non-text
CTX199904249,794,13,09.11.98.,N/A,0,0,Non-text
CTX199904249,794,15,173 1,N/A,0,0,Non-text
CTX199904249,794,19,1 1,N/A,0,0,Non-text
CTX199904249,794,20,TA,N/A,0,0,Non-text
CTX199904249,794,21,• 1,N/A,0,0,Non-text
CTX199904249,794,22,TB,N/A,0,0,Non-text
CTX199904249,794,23,1 1,N/A,0,0,Non-text
CTX199904249,794,24,TC,N/A,0,0,Non-text
CTX199904249,794,25,1 1,N/A,0,0,Non-text
CTX199904249,794,26,TD,N/A,0,0,Non-text
CTX199904249,794,27,1 1,N/A,0,0,Non-text
CTX199904249,794,28,TE,N/A,0,0,Non-text
CTX199904249,794,29,1 1,N/A,0,0,Non-text
CTX199904249,794,31,i 1,N/A,0,0,Non-text
CTX199904249,794,32,AA,N/A,0,0,Non-text
CTX199904249,794,34,AB,N/A,0,0,Non-text
CTX199904249,794,35,1 1,N/A,0,0,Non-text
CTX199904249,794,36,AC,N/A,0,0,Non-text
